stop_id,stop_name,zone_id,stop_lat,stop_lon
58258,Kokapet X Rd,Kokapet X Rd,17.387619,78.341096
58259,Grape Garden-Gandipet,Grape Garden-Gandipet,17.386823,78.338029
58260,Gandipet X Road,Gandipet X Road,17.385,78.331
58261,Cbit,Cbit,17.393536,78.320224
58262,Cbit Hostel,Cbit Hostel,17.39625,78.311078
58263,Reddy Khanapur-Gandipet,Reddy Khanapur-Gandipet,17.397,78.302
58264,Miyakhan Gadda-Vattinagulapalle,Miyakhan Gadda-Vattinagulapalle,17.404934,78.284956
58265,Janwada X Road,Janwada X Road,17.412737,78.266765
58266,Kollur X Road,Kollur X Road,17.417774,78.249905
58267,Dontapally,Dontapally,17.418556,78.224318
58268,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.418926,78.216938
58269,Pilli Gundla Dontapalli,Pilli Gundla Dontapalli,17.422,78.21
58270,Mokila Bus Stop,Mokila Bus Stop,17.431992,78.189756
58271,Unknown,UNKNOWN,17.433873,78.185545
58272,Bulkapur,Bulkapur,17.444803,78.158787
58273,Bhanoor X Road,Bhanoor X Road,17.453,78.144
58274,Shankarpally Bus Station,Shankarpally Bus Station,17.45583,78.13135
58275,Bhanoor X Road,Bhanoor X Road,17.453335,78.14412
58276,Bulkapur,Bulkapur,17.444895,78.158887
58277,Unknown,UNKNOWN,17.433964,78.18553
58278,Mokila Bus Stop,Mokila Bus Stop,17.433466,78.186873
58279,Pilli Gundla Dontapalli,Pilli Gundla Dontapalli,17.422314,78.210243
58280,Indian Business School ( Ibs ),Indian Business School ( Ibs ),17.41876,78.217746
58281,Dontapally,Dontapally,17.41868,78.223933
58282,Kollur X Road,Kollur X Road,17.417743,78.25076
58283,Janwada X Road,Janwada X Road,17.412814,78.266875
58284,Miyakhan Gadda-Vattinagulapalle,Miyakhan Gadda-Vattinagulapalle,17.405,78.286
58285,Reddy Khanapur-Gandipet,Reddy Khanapur-Gandipet,17.397297,78.301983
58286,Cbit Hostel,Cbit Hostel,17.396275,78.311598
58287,Cbit,Cbit,17.393675,78.320267
58288,Gandipet X Road,Gandipet X Road,17.38551,78.330819
58289,Grape Garden-Gandipet,Grape Garden-Gandipet,17.387,78.338
58290,Kokapet X Rd,Kokapet X Rd,17.388022,78.341466
58291,Hanuman Temple-Neknapur,Hanuman Temple-Neknapur,17.380244,78.368378
58292,Neknapur,Neknapur,17.379,78.37
58293,Taramathi,Taramathi,17.376899,78.378934
58294,Ibrahim Bagh,Ibrahim Bagh,17.376845,78.381856
58295,Age Bar,Age Bar,17.376663,78.385859
58296,Ramdev Guda,Ramdev Guda,17.375122,78.397021
58297,Tippu Khan Bridge,Tippu Khan Bridge,17.373358,78.405114
58298,Green Land,Green Land,17.430727,78.455908
58299,Rj College,Rj College,17.435038,78.455287
58300,Hps Begumpet,Hps Begumpet,17.442799,78.458891
58301,Shyamlal Begumpet,Shyamlal Begumpet,17.444383,78.461112
58302,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.445122,78.465002
58303,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.444306,78.47153
58304,Police Lines Begumpet,Police Lines Begumpet,17.443691,78.478073
58305,Wesley College,Wesley College,17.443472,78.482053
58306,Paradise,Paradise,17.443495,78.48665
58307,Plaza,Plaza,17.443303,78.490657
58308,Sangeeth,Sangeeth,17.441168,78.505636
58309,Esi Hospital Nacharam,Esi Hospital Nacharam,17.430947,78.553245
58310,Nfc X Roads,Nfc X Roads,17.448471,78.575795
58311,Ashoknagar-Mallapur,Ashoknagar-Mallapur,17.450005,78.580829
58312,Nfc North Gate,Nfc North Gate,17.457074,78.578947
58313,Ecil Factory,Ecil Factory,17.467406,78.573886
58314,Nfc North Gate,Nfc North Gate,17.45715,78.578934
58315,Ashoknagar-Mallapur,Ashoknagar-Mallapur,17.45,78.581
58316,Esi Hospital Nacharam,Esi Hospital Nacharam,17.430826,78.553399
58317,Plaza,Plaza,17.443205,78.490119
58318,Paradise,Paradise,17.443145,78.486239
58319,Wesley College,Wesley College,17.443347,78.481931
58320,Police Lines Begumpet,Police Lines Begumpet,17.443651,78.474993
58321,Prakash Nagar Begumpet,Prakash Nagar Begumpet,17.443992,78.471394
58322,Shoppers Stop Begumpet,Shoppers Stop Begumpet,17.44484,78.464904
58323,Shyamlal Begumpet,Shyamlal Begumpet,17.44421,78.461728
58324,Hps Begumpet,Hps Begumpet,17.442555,78.459278
58325,Rj College,Rj College,17.434999,78.455579
58326,Mehdipatnam,Mehdipatnam,17.393915,78.442412
58327,Shanthi Nagar-Vanastalipuram,Shanthi Nagar-Vanastalipuram,17.329319,78.587536
58328,Nanakramguda,Nanakramguda,17.419286,78.358024
58329,Shivam,Shivam,17.405366,78.515398
58330,Ramakrishna Mutt,Ramakrishna Mutt,17.411309,78.482715
58331,Lakdikapool,Lakdikapool,17.403803,78.464846
58332,Nanakramguda,Nanakramguda,17.419481,78.354516
58333,Ramakrishna Mutt,Ramakrishna Mutt,17.411683,78.482029
58334,6 Number,6 Number,17.391177,78.510779
58335,Karmika-Nagar,Karmika-Nagar,17.44426,78.424113
58336,Kalyan Nagar,Kalyan Nagar,17.451056,78.422875
58337,Chilkur Quarters,Chilkur Quarters,17.343958,78.295348
58338,Chilkur Balaji Temple Rd,Chilkur Balaji Temple Rd,17.34793,78.288888
58339,Appojiguda X Road,Appojiguda X Road,17.360656,78.273224
58340,Chandanagar-Moinabad,Chandanagar-Moinabad,17.36673,78.258912
58341,Chandanagar-Moinabad,Chandanagar-Moinabad,17.373857,78.261328
